ZIP Code,Neighborhood Name
15233,Manchester
15232,Shadyside
15238,Fox Chapel
15222,Strip District
15217,Squirrel Hill
15213,Oakland
15218,Swisshelm Park
15208,Homewood
15234,Castle Shannon
15220,Elliot
15215,Sharpsburg
15204,Corliss
15224,Bloomfield
15214,Summer Hill
15203,South Side Slopes
15207,Hazelwood
15201,Central Lawrenceville
15236,Pleasant Hills
15211,South Shore
15226,Brookline
15106,Carnegie
15219,Hill District
15205,Crafton Heights
15120,Homestead
15206,East Liberty
15221,East Hills
15227,Brentwood
15216,South Hills
15235,Penn Hills
15212,Central Northside
15210,Mount Oliver
